id_cliente,nome,cpf,cidade,estado,renda_anual
1,Yan Pacheco,957.462.130-80,da Cruz Alegre,BA,379558.41
2,Caleb Cavalcante,702.386.419-96,Souza,PI,246590.77
3,Luiz Otávio Nunes,930.721.865-02,Carvalho,AP,337669.7
4,Isaque Teixeira,793.185.046-75,Brito,GO,269240.01
5,Henrique Gonçalves,475.239.601-70,Duarte do Sul,GO,192777.53
6,Caio Pinto,286.914.753-82,Sales,PA,368232.31
7,Lavínia Silva,415.938.206-15,Leão Alegre,PE,302889.79
8,Benício da Cunha,024.671.835-80,Silveira Alegre,MA,450320.1
9,Juan Aparecida,037.259.864-10,Costela do Galho,ES,326169.04
10,Juliana Pereira,547.186.320-80,Caldeira do Sul,RS,210571.5
11,Stella da Rosa,384.570.926-00,da Luz do Amparo,PE,349489.25
12,Amanda Nogueira,260.175.938-03,Cassiano da Prata,GO,416504.41
13,Sr. Pedro Lucas Cunha,374.852.916-37,Santos,PI,220272.85
14,Davi Miguel Moreira,507.642.981-94,Pastor Paulista,MG,380297.74
15,Thales Rocha,967.508.231-30,Pires de Caldeira,MA,182532.77
16,Ana Carolina Sousa,243.059.786-10,Campos,PE,129968.73
17,Sabrina Cunha,592.704.361-52,Costela,PB,50809.06
18,Cecília Pires,241.865.073-17,Teixeira de Pires,AM,365903.8
19,Josué Jesus,987.314.026-31,Rodrigues de Goiás,MG,307775.66
20,Ísis Brito,598.720.143-88,Santos,AP,432840.63
21,Júlia da Mata,854.362.907-10,Aparecida,GO,396873.68
22,Théo Macedo,057.193.824-88,Novaes da Praia,TO,305367.24
23,Vitor Gabriel Souza,840.752.913-32,Macedo,AC,131936.79
24,Raquel da Cruz,642.597.081-20,Macedo de Duarte,PA,193197.61
25,Isadora das Neves,187.039.654-57,Siqueira,CE,413963.12
26,Bruna Caldeira,608.394.715-48,Peixoto,ES,325121.52
27,Julia Melo,756.294.310-99,Rios das Pedras,DF,337841.05
28,Luiz Fernando das Neves,257.891.306-40,Silveira dos Dourados,PR,96849.6
29,Vinícius Novaes,904.128.367-69,da Rocha da Serra,PR,273283.28
30,Larissa Cassiano,534.706.928-74,da Mata do Sul,RN,199025.79
31,José Miguel Camargo,307.819.546-57,Correia de Viana,SE,85012.99
32,Catarina Peixoto,607.918.432-03,Nogueira,MT,206064.56
33,Sra. Catarina Castro,587.612.430-35,da Paz de Goiás,SE,193783.41
34,Augusto Duarte,814.750.692-94,Sousa das Flores,RR,336284.05
35,Thales da Rocha,967.513.084-93,Pires do Galho,MG,483385.83
36,Aylla Nogueira,568.104.273-17,Farias Verde,SP,419747.81
37,Rafael Vasconcelos,458.037.261-17,Pires,RJ,351511.06
38,Clara Leão,027.348.591-14,Souza da Prata,MG,378178.68
39,Sra. Alexia da Rocha,180.534.296-70,Pastor,PE,201087.26
40,Evelyn Porto,670.812.549-85,Cirino,PE,55128.03
41,Sr. Gael Henrique Cavalcanti,897.625.034-65,Cavalcante,AC,144357.93
42,Isabella Porto,267.158.943-37,Moura,AM,361929.23
43,Marcela Marques,510.478.963-20,Souza,AP,207716.52
44,Levi Teixeira,639.805.712-03,Carvalho,PR,404159.0
45,Dr. Luiz Miguel Moraes,415.938.706-39,Viana Alegre,MG,374186.11
46,José Pedro Rocha,469.503.812-98,Vargas,PB,71666.36
47,José Pedro Cunha,632.978.045-56,da Conceição do Norte,AM,247199.06
48,Srta. Maria Julia Cirino,261.540.738-44,Moraes do Norte,PR,238843.95
49,Arthur Gabriel Andrade,854.396.170-00,Moraes,MA,124852.3
50,Gabrielly Monteiro,513.207.864-80,da Mota,MA,236308.62
51,José Pedro Rezende,328.456.019-05,das Neves do Galho,AC,446796.8
52,Dr. Gael Henrique Moraes,241.053.678-62,Alves,RS,208054.03
53,Cauê Sá,632.948.751-00,Santos,MA,218906.41
54,Ana Liz Nogueira,315.208.769-12,Alves de Mendonça,CE,422963.14
55,Liz Rocha,016.934.527-07,Vargas da Serra,SP,404928.5
56,Apollo Cunha,831.247.059-04,da Rosa,MA,310124.97
57,Maria Luiza Santos,297.081.453-60,Rocha,MA,391209.59
58,Sra. Ana Julia Garcia,019.526.437-16,Nogueira,PB,151512.23
59,Lavínia Nascimento,697.012.584-01,Caldeira,RS,253079.34
60,Leonardo da Luz,098.413.567-75,Costela,PI,409637.55
61,Sr. Renan Andrade,607.582.391-30,Costela de Macedo,AP,65035.75
62,Isaac Silva,091.574.362-07,Silva,PE,59035.1
63,Clarice Rodrigues,783.604.195-66,Pastor,SC,167507.47
64,Gabriela Fogaça,015.438.926-98,Montenegro,RR,97126.27
65,Manuela Fonseca,576.413.028-07,Fogaça Paulista,PR,203813.69
66,Jade Oliveira,416.829.037-96,Teixeira,RN,449569.07
67,Maria Laura da Luz,358.941.670-00,Silva do Norte,MA,122407.02
68,Maria Cecília Correia,205.814.637-90,Martins,RR,83751.09
69,Ana Liz Rios,385.672.014-62,Rezende da Prata,MS,473825.36
70,Daniel Sampaio,728.190.354-50,Sá,TO,490118.69
71,Bruno Marques,789.305.621-59,Pacheco,MG,202077.76
72,Otávio Pacheco,138.296.074-31,Pimenta,MA,493374.25
73,Bryan Machado,610.759.832-40,Barros de Sá,PA,451951.78
74,Marcos Vinicius da Paz,582.706.349-56,da Costa,CE,367027.09
75,Maria Luiza Araújo,176.953.240-43,Correia,AC,244095.5
76,Ana Julia Nogueira,271.958.043-05,Moura,PA,344135.83
77,Caio Castro,721.439.506-16,Correia do Galho,SP,323292.93
78,Bárbara Cardoso,751.690.824-01,Cavalcante do Sul,AM,245390.17
79,Davi Lucca Correia,376.451.092-70,Moreira Verde,MS,74100.08
80,Yago Costela,762.153.890-21,Montenegro,ES,198992.56
81,Srta. Ana Cecília Barbosa,089.235.471-23,Albuquerque,PR,488479.29
82,Dr. Lucas Gabriel Mendonça,658.417.203-17,Ferreira Verde,MT,234175.94
83,Henry Pacheco,430.862.795-83,Ferreira do Sul,ES,299350.59
84,Cecilia Cassiano,218.596.734-73,Porto de Teixeira,RN,466508.12
85,Emilly Costa,704.562.938-92,Camargo das Pedras,ES,293056.44
86,Maitê Viana,359.180.476-20,Casa Grande,SE,347269.05
87,Otto Barbosa,327.804.961-69,Vieira,RN,183830.29
88,Ana Júlia Mendonça,761.283.094-96,Pires de Porto,RN,93162.16
89,Vitor da Rosa,751.468.239-28,Vargas de Goiás,RR,226806.0
90,Eloá Aragão,614.837.092-13,Ramos,MA,297348.19
91,Yasmin Moraes,637.401.825-71,Jesus do Galho,SE,270926.72
92,Valentina Rios,074.615.982-01,Novais,AM,74527.18
93,Maria Laura Porto,287.954.360-65,Cavalcante,DF,51717.01
94,Júlia Mendes,218.750.369-03,Rocha dos Dourados,BA,89432.76
95,Lavínia Peixoto,158.027.496-01,Porto,MG,420753.79
96,Juliana Rocha,034.617.295-07,da Costa de Marques,TO,331290.93
97,Miguel Alves,814.972.035-97,Fonseca,ES,266147.78
98,Bento Costa,674.329.085-83,Garcia,AM,93644.1
99,Alexia Rezende,045.273.189-50,Campos,BA,143128.84
100,Maria Cecília Peixoto,963.807.254-74,Azevedo de Goiás,SC,337185.8
101,Ana Carolina Cassiano,350.716.492-25,Siqueira da Serra,RR,489675.96
102,Alícia Pinto,502.376.914-34,Pinto da Serra,SP,263106.79
103,Maria Clara Lima,369.815.240-15,Silva da Mata,CE,101979.02
104,José Miguel Gonçalves,321.084.756-80,Garcia Alegre,BA,403194.46
105,Sra. Maitê Cavalcanti,215.076.389-30,da Paz Alegre,AM,261925.0
106,Júlia Porto,059.472.638-74,Pires de Almeida,AL,452694.87
107,Vitor Hugo Cavalcante,329.701.684-13,Costa,MS,169251.98
108,Srta. Heloisa Castro,265.970.138-59,Jesus,MT,338839.87
109,Ana Laura da Costa,472.608.519-02,Cunha,BA,224387.2
110,Ravi Lucca Araújo,786.402.951-58,Sales,SP,216959.24
111,Pedro Lucas Rezende,183.709.546-93,Freitas,SC,221650.33
112,Bárbara Câmara,563.402.791-80,da Rosa,MG,133962.32
113,Lucas Gabriel Peixoto,079.614.283-13,Sousa de Oliveira,SP,70077.62
114,Gabriela Viana,473.186.052-08,da Luz,AL,247883.19
115,Luiz Otávio Pires,348.250.697-38,Vieira,MG,168530.36
116,Miguel Cavalcante,954.836.217-19,Barbosa,AP,426685.44
117,Emanuel Vargas,278.609.351-12,Fonseca de Cavalcante,RR,303910.96
118,Maria Sophia Freitas,296.158.374-82,Garcia da Mata,RS,118008.8
119,Olívia Alves,346.105.927-70,Guerra,RR,363411.93
120,Pietro Sales,946.513.208-05,Rezende,PI,93516.18
121,Carolina Cirino,760.415.283-07,das Neves,BA,350663.53
122,Ana Liz Campos,908.613.427-04,Barros Verde,TO,413681.07
123,Theodoro Guerra,637.958.201-03,Viana,AM,236293.99
124,Srta. Cecilia da Paz,239.176.085-02,da Costa do Sul,BA,390405.6
125,Isadora Almeida,237.846.901-22,Peixoto Alegre,PI,152380.74
126,Ian da Rosa,613.045.289-60,Rocha,PA,77442.69
127,Srta. Sophie Andrade,159.674.380-84,Pinto,MT,224197.74
128,Leonardo Moraes,905.631.478-57,Porto,MA,285162.02
129,Miguel Moura,694.280.175-58,Borges,MT,484532.47
130,Gabriel Almeida,638.015.724-71,Jesus do Galho,MA,359180.57
131,Aurora Duarte,375.802.149-97,Correia,MT,471362.65
132,Guilherme da Cruz,961.853.247-09,Leão,MA,307721.43
133,Melissa Moura,147.802.563-80,Cirino da Prata,RR,156038.91
134,Maysa Silveira,706.915.428-30,Castro de Minas,GO,184483.45
135,Evelyn Sales,630.421.978-40,Montenegro Grande,RS,227661.96
136,Pedro Henrique Aparecida,325.908.147-04,Nogueira,GO,434272.92
137,Arthur Gabriel Rios,451.709.286-02,Sampaio da Prata,CE,65627.82
138,Vitória Duarte,385.629.047-83,Marques Grande,PR,307048.97
139,Thiago Rocha,902.614.753-80,Teixeira,GO,282567.83
140,Isabelly Cassiano,482.156.973-64,Cavalcanti do Norte,AP,307168.43
141,Mariana Cardoso,530.641.972-07,Cirino das Pedras,AM,492239.64
142,Mirella Azevedo,789.265.034-29,Farias das Pedras,MT,116351.44
143,Allana Carvalho,093.518.642-51,da Luz do Sul,TO,477164.67
144,Sra. Lívia Teixeira,762.940.513-80,Moraes Alegre,RN,252067.88
145,Ravi Lucca Almeida,028.315.746-17,Monteiro de Costela,MG,477077.67
146,Ana Laura Andrade,641.908.532-24,Lima,RR,125224.15
147,Cecilia Novaes,238.946.075-56,Nunes de Goiás,PE,145350.57
148,Maria Liz Ramos,261.038.594-33,Albuquerque de Sales,MA,136726.74
149,Guilherme Peixoto,198.306.457-20,da Rocha,PA,69204.16
150,Levi Borges,573.942.801-79,Araújo,CE,85265.83
151,Dr. Luan Correia,940.817.563-84,Fernandes,SC,357406.46
152,Enzo Gabriel Carvalho,415.728.906-49,Gonçalves,MS,140863.68
153,Renan Pastor,837.196.524-91,Porto do Sul,MS,420153.81
154,Lorenzo da Rosa,273.456.918-37,Cunha,RJ,116545.21
155,Luigi Jesus,374.692.058-29,Oliveira,RO,317771.44
156,Sr. Theodoro Souza,603.172.954-70,Pimenta de Sampaio,ES,193887.27
157,Ayla Abreu,295.017.648-85,Mendonça da Praia,ES,377196.35
158,Erick Correia,065.281.947-85,Montenegro,RS,413304.65
159,Leandro Guerra,915.407.283-23,Pimenta Paulista,PI,89162.35
